LOCATION,ITEM NO,ITEM DESCRIPTION,PACK,SIZE,ITEM WGT,WEEKLY MVMT,ITEM COST,CASES DAMAGED,COLOR_CASES DAMAGED
A10-100-R-1986-1800-0,\s624085,POTATO SALAD SINGLE SERVE CUP,6,6 OZ,4.5,689.8,5.16,0,green
A10-100-R-1986-1800-84,\s514503,T-SACK-THANK YOU HI-D,2000,12X7X21,28.5,27,33.2,0,green
A10-101-L-2166-1812-0,\s189700,CREAM CHEESE PLAIN,10,3#,30,115.2,1.8995,0,green
A10-101-L-2166-1812-84,\s841462,PEPPERONI SAND. SLICED,8,2#,16,82.8,3.39,0,green
A10-104-R-1986-1848-0,\s699667,PEPPERONI CHEESE & CRACKERS,6,3.9 OZ,23.4,473,10.8,0,green
A10-104-R-1986-1848-84,\s923937,HAM POLISH 98%,3,11#,35,42.8,2.25,0,green
A10-105-L-2166-1872-0,\s201002,DRESSING REF RANCH DELUXE,4,GALLON,31.05,17.4,36.74,0,green
A10-105-L-2166-1872-84,\s582912,TURKEY BREAST MAPLE HONEY,2,6-7#,12.8,43,3.04,1,red
A10-108-R-1986-1908-0,\s126000,SWISS 4 X 4 LOT,2,8# AVG,16,293.4,2.49,0,green
A10-108-R-1986-1908-84,\s505514,SHIPPER BAR CHIP GARLIC,36,7 OZ,26.6,0,64.08,0,green
A10-109-L-2166-1932-0,\s514793,FILLING SPUN GOLD LEMON,1,38#,38,12,22.6,2,red
A10-109-L-2166-1932-84,\s892146,HAM DINNER BNLS WHOLE,2,9#,16,4,2.1,0,green
A10-112-R-1986-1968-0,\s294005,TURKEY BREAST SMOKIN CHIPOTLE,3,4.5#,13.5,41,3.63,1,red
A10-112-R-1986-1968-84,\s667500,BAGS WHITE KRAFT 6#,500,6X4X11,11,25.4,10.18,0,green
A10-113-L-2166-1980-0,\s719183,PIZZA SAUCE W/OIL & SPICES,6,#10 CAN,45.2,19.6,22.28,0,green
A10-113-L-2166-1980-84,\s208000,ROAST BEEF TOP ROUND,2,7.5#,15,43.4,4.28,0,green
A10-117-R-1986-2028-0,\s157500,ROAST BEEF LONDON BROIL,2,7#,13.5,120.6,5.88,0,green
A10-117-R-1986-2028-84,\s840216,AMERICAN RIBBON SL 120 F/S,6,5#,30,0.5,2.059,0,green
A10-118-L-2166-2040-0,\s934556,HAM COUNTRY,2,14-16#,30,0,2.58,0,green
A10-118-L-2166-2040-84,\s237541,BACON THICK SLICED,24,16 OZ,24,19,3.99,0,green
A10-121-R-1986-2076-0,\s226800,HAM OLD FASH SMOKEHOUSE,2,10#,20,308.2,3.4,0,green
A10-121-R-1986-2076-84,\s196733,ALMONDS ROASTED SEA SALT,1,25#,25,3.4,80.69,0,green
A10-122-L-2166-2100-0,\s646800,PINEAPPLE TIDBITS IN JUICE,6,#10 CAN,40.5,22.2,35.67,0,green
A10-122-L-2166-2100-84,\s615143,COFFEE WOODWARD AVE BLEND,6,8 OZ,3,43.8,22.8,0,green
